,date,open,high,low,close,volume,quote_volume
0,2024-12-28 14:10:00,94554.3,94555.8,94520.7,94554.1,31.784,3004784.8333
1,2024-12-28 14:11:00,94554.1,94554.1,94551.6,94551.7,4.916,464816.7383
2,2024-12-28 14:12:00,94504.9,94510.0,94504.8,94510.0,6.146,580830.1476
3,2024-12-28 14:13:00,94504.8,94515.7,94504.8,94504.9,9.915,937059.5931
4,2024-12-28 14:14:00,94516.8,94533.6,94516.8,94531.3,5.524,522172.6513
5,2024-12-28 14:15:00,94529.5,94579.7,94529.4,94579.6,33.85,3200373.8312
6,2024-12-28 14:16:00,94589.9,94590.0,94567.1,94567.2,11.998,1134765.6156
7,2024-12-28 14:17:00,94567.1,94570.0,94500.0,94500.1,41.791,3950639.9308
8,2024-12-28 14:18:00,94475.1,94523.9,94470.6,94470.6,122.138,11541600.2022
9,2024-12-28 14:19:00,94470.6,94511.9,94470.6,94505.8,49.564,4683587.653
10,2024-12-28 14:20:00,94494.8,94529.0,94494.8,94529.0,12.932,1222123.45
11,2024-12-28 14:21:00,94522.1,94531.5,94489.4,94498.5,13.02,1230525.1332
12,2024-12-28 14:22:00,94488.0,94512.8,94488.0,94506.9,29.608,2798002.3798
13,2024-12-28 14:23:00,94506.9,94540.0,94506.9,94539.9,25.609,2420699.9571
14,2024-12-28 14:24:00,94540.0,94558.0,94540.0,94552.6,24.388,2305913.2201
15,2024-12-28 14:25:00,94555.7,94558.0,94533.5,94533.5,11.517,1088909.5257
16,2024-12-28 14:27:00,94510.0,94510.1,94510.0,94510.0,2.009,189870.5906
17,2024-12-28 14:28:00,94503.2,94506.6,94503.2,94506.5,0.639,60389.4358
18,2024-12-28 14:29:00,94498.1,94500.2,94498.0,94500.2,3.614,341516.7373
19,2024-12-28 14:30:00,94505.6,94505.6,94491.0,94492.1,9.252,874303.1104
20,2024-12-28 14:31:00,94504.5,94544.4,94504.5,94522.2,7.127,673695.5021
21,2024-12-28 14:32:00,94473.1,94473.1,94473.0,94473.1,4.289,405194.9232
22,2024-12-28 14:33:00,94460.1,94460.1,94455.0,94460.0,7.033,664323.1471
23,2024-12-28 14:34:00,94459.1,94459.1,94446.8,94446.8,24.541,2317901.9191
24,2024-12-28 14:35:00,94451.9,94475.0,94451.8,94470.1,15.931,1504946.8046
25,2024-12-28 14:36:00,94425.1,94429.4,94351.0,94361.7,73.38,6925825.8815
26,2024-12-28 14:37:00,94432.5,94456.0,94432.4,94455.9,7.688,726059.0744
27,2024-12-28 14:38:00,94470.0,94470.0,94441.7,94441.7,10.882,1027840.1268
28,2024-12-28 14:39:00,94423.8,94425.6,94372.2,94372.3,12.236,1155167.6628
29,2024-12-28 14:40:00,94376.1,94407.3,94367.0,94407.3,27.414,2587445.0861
30,2024-12-28 14:41:00,94413.4,94413.5,94413.4,94413.4,5.356,505678.4558
31,2024-12-28 14:42:00,94400.1,94400.1,94377.5,94383.2,13.988,1320268.7522
32,2024-12-28 14:43:00,94377.5,94408.1,94370.0,94408.0,28.73,2711835.4006
33,2024-12-28 14:44:00,94420.0,94420.6,94401.3,94401.4,36.911,3484910.6321
34,2024-12-28 14:45:00,94401.4,94412.0,94390.0,94412.0,23.573,2225333.2771
35,2024-12-28 14:46:00,94412.0,94448.0,94406.7,94406.7,36.939,3488237.4527
36,2024-12-28 14:48:00,94406.5,94406.6,94406.5,94406.6,0.426,40217.2068
37,2024-12-28 14:49:00,94395.6,94395.6,94395.5,94395.5,0.37,34926.3462
38,2024-12-28 14:50:00,94417.9,94422.9,94416.0,94416.1,1.68,158622.8718
39,2024-12-28 14:51:00,94374.8,94374.9,94374.8,94374.9,0.345,32559.3193
40,2024-12-28 14:52:00,94394.1,94394.2,94390.0,94393.8,4.344,410036.3545
41,2024-12-28 14:53:00,94394.2,94399.2,94371.0,94385.4,12.621,1191223.0203
42,2024-12-28 14:54:00,94407.0,94424.0,94406.9,94424.0,6.226,587810.8067
43,2024-12-28 14:55:00,94460.8,94460.8,94437.1,94441.9,18.291,1727493.8386
44,2024-12-28 14:56:00,94441.8,94446.6,94427.6,94427.6,32.091,3030739.7804
45,2024-12-28 14:57:00,94420.4,94420.4,94416.9,94416.9,4.954,467749.4171
46,2024-12-28 14:58:00,94402.7,94402.8,94400.0,94400.0,7.026,663266.387
